Solver,Layer,Accuracy Train,Accuracy Test,Precision Train,Precision Test,Recall Train,Recall Test,AUC Train,AUC Test
lbfgs,"(10,)",0.9014084507042254,0.9444444444444444,0.8833333333333333,0.9166666666666666,0.9195402298850576,0.9333333333333332,0.9245098039215687,1.0
lbfgs,"(10, 10)",0.8309859154929577,0.8333333333333334,0.8181818181818182,0.75,0.8924603174603174,0.8571428571428571,0.9901960784313726,1.0
lbfgs,"(10, 10, 10)",0.4084507042253521,0.2777777777777778,0.3333333333333333,0.3666666666666667,0.13615023474178403,0.411764705882353,0.5,0.55
sgd,"(10,)",0.30985915492957744,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.10328638497652581,0.0784313725490196,0.5,0.45
sgd,"(10, 10)",0.30985915492957744,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.10328638497652581,0.0784313725490196,0.5,0.45
sgd,"(10, 10, 10)",0.4084507042253521,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.13615023474178403,0.07407407407407407,0.5,0.5
adam,"(10,)",0.4084507042253521,0.2777777777777778,0.3333333333333333,0.3666666666666667,0.13615023474178403,0.411764705882353,0.5,0.55
adam,"(10, 10)",0.28169014084507044,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.09389671361502348,0.1851851851851852,0.5,0.5
adam,"(10, 10, 10)",0.28169014084507044,0.5,0.3333333333333333,0.3,0.09389671361502348,0.17647058823529413,0.5,0.45
